enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,detailed.issueDate,detailed.lastUpdated,location_id,location_name
Partly cloudy and a gentle breeze,2,23,73,30,19,73,2022-07-20,5,Low chance of precipitation,1013,20,68,04:00,1,Good,2,Partly Cloudy,A gentle breeze from the south west,SW,SW,South Westerly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,23,73,30,19,74,2022-07-20,6,Low chance of precipitation,1013,20,68,05:00,1,Good,2,Partly Cloudy,A gentle breeze from the south west,SW,SW,South Westerly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,22,72,31,19,75,2022-07-20,6,Low chance of precipitation,1013,20,67,06:00,1,Good,3,Sunny Intervals,A gentle breeze from the south west,SW,SW,South Westerly,15,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Light cloud and a gentle breeze,7,23,72,32,20,74,2022-07-20,6,Low chance of precipitation,1014,20,68,07:00,1,Good,7,Light Cloud,A gentle breeze from the south west,SW,SW,South Westerly,16,10,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,23,74,33,21,71,2022-07-20,6,Low chance of precipitation,1014,21,69,08:00,1,Good,3,Sunny Intervals,A gentle breeze from the south west,SW,SW,South Westerly,17,11,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,25,76,34,21,66,2022-07-20,5,Low chance of precipitation,1014,22,71,09:00,1,Good,3,Sunny Intervals,A gentle breeze from the west south west,WSW,WSW,West South Westerly,18,11,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,26,79,35,22,60,2022-07-20,4,Low chance of precipitation,1014,23,73,10:00,1,Good,3,Sunny Intervals,A gentle breeze from the west south west,WSW,WSW,West South Westerly,18,11,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,27,81,35,22,55,2022-07-20,3,Low chance of precipitation,1014,24,75,11:00,1,Good,3,Sunny Intervals,A gentle breeze from the west south west,WSW,WSW,West South Westerly,18,11,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,27,81,35,22,52,2022-07-20,3,Low chance of precipitation,1014,25,76,12:00,1,Good,3,Sunny Intervals,A gentle breeze from the west south west,WSW,WSW,West South Westerly,18,11,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,28,82,36,22,49,2022-07-20,4,Low chance of precipitation,1015,25,77,13:00,1,Good,3,Sunny Intervals,A gentle breeze from the west south west,WSW,WSW,West South Westerly,18,11,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
